isin;name;url;description_en;description_cs;ter;ter_numeric;fund_size;fund_size_numeric;fund_size_currency;fund_currency;fund_domicile;fund_provider;inception_date;distribution_policy;distribution_frequency;replication;legal_structure;index_name;investment_focus;sustainability;category;is_leveraged;region;total_holdings;return_1y;return_3y;return_5y;return_ytd;volatility_1y;volatility_3y;volatility_5y;return_per_risk_1y;return_per_risk_3y;return_per_risk_5y;max_drawdown_1y;max_drawdown_3y;max_drawdown_5y;max_drawdown_inception;beta;correlation;tracking_error;information_ratio;primary_exchange;primary_ticker;total_exchanges;current_dividend_yield;current_dividend_yield_numeric;dividends_12m;dividends_12m_numeric;dividends_12m_currency;dividend_extraction_method;scraping_date;scraping_status;retry_count;holding_1_name;holding_1_weight;holding_2_name;holding_2_weight;holding_3_name;holding_3_weight;holding_4_name;holding_4_weight;holding_5_name;holding_5_weight;holding_6_name;holding_6_weight;holding_7_name;holding_7_weight;holding_8_name;holding_8_weight;holding_9_name;holding_9_weight;holding_10_name;holding_10_weight;country_1_name;country_1_weight;country_2_name;country_2_weight;country_3_name;country_3_weight;country_4_name;country_4_weight;country_5_name;country_5_weight;sector_1_name;sector_1_weight;sector_2_name;sector_2_weight;sector_3_name;sector_3_weight;sector_4_name;sector_4_weight;sector_5_name;sector_5_weight;exchange_1_name;exchange_1_currency;exchange_1_ticker;exchange_1_bloomberg;exchange_1_reuters;exchange_1_market_maker;exchange_2_name;exchange_2_currency;exchange_2_ticker;exchange_2_bloomberg;exchange_2_reuters;exchange_2_market_maker;exchange_3_name;exchange_3_currency;exchange_3_ticker;exchange_3_bloomberg;exchange_3_reuters;exchange_3_market_maker;exchange_4_name;exchange_4_currency;exchange_4_ticker;exchange_4_bloomberg;exchange_4_reuters;exchange_4_market_maker;exchange_5_name;exchange_5_currency;exchange_5_ticker;exchange_5_bloomberg;exchange_5_reuters;exchange_5_market_maker;rating;rating_score;rating_ter_score;rating_size_score;rating_track_record_score;rating_provider_score;rating_performance_score
IE00BKS2X200;ETF Screener;https://www.justetf.com/en/etf-profile.html?isin=IE00BKS2X200;;;;;;;;;;;;;;;;;;;Ostatní;False;Ostatní;;;;;;;;;;;;;;;;;;;;Extracted (method 2);AI;4;;;;;;;2025-09-18T13:00:51.702811;success;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;London Stock Exchange;GBP;;;;;XETRA;EUR;;;;;NASDAQ;EUR;;;;;Euronext Paris;EUR;;;;;;;;;;;;;;;;;
DE000PB8R1M6;ETF Screener;https://www.justetf.com/en/etf-profile.html?isin=DE000PB8R1M6;;;;;;;;;;;;;;;;;;;Ostatní;False;Ostatní;;;;;;;;;;;;;;;;;;;;Extracted (method 2);AI;4;;;;;;;2025-09-18T13:00:55.255652;success;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;London Stock Exchange;GBP;;;;;XETRA;EUR;;;;;NASDAQ;EUR;;;;;Euronext Paris;EUR;;;;;;;;;;;;;;;;;
IE000UDFKE13;ETF Screener;https://www.justetf.com/en/etf-profile.html?isin=IE000UDFKE13;;;;;;;;;;;;;;;;;;;Ostatní;False;Ostatní;;;;;;;;;;;;;;;;;;;;Extracted (method 2);AI;4;;;;;;;2025-09-18T13:01:00.382551;success;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;London Stock Exchange;GBP;;;;;XETRA;EUR;;;;;NASDAQ;EUR;;;;;Euronext Paris;EUR;;;;;;;;;;;;;;;;;
IE000130VPV5;ETF Screener;https://www.justetf.com/en/etf-profile.html?isin=IE000130VPV5;;;;;;;;;;;;;;;;;;;Ostatní;False;Ostatní;;;;;;;;;;;;;;;;;;;;Extracted (method 2);AI;4;;;;;;;2025-09-18T13:01:03.429959;success;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;London Stock Exchange;GBP;;;;;XETRA;EUR;;;;;NASDAQ;EUR;;;;;Euronext Paris;EUR;;;;;;;;;;;;;;;;;
IE00BF4TWF63;ETF Screener;https://www.justetf.com/en/etf-profile.html?isin=IE00BF4TWF63;;;;;;;;;;;;;;;;;;;Ostatní;False;Ostatní;;;;;;;;;;;;;;;;;;;;Extracted (method 2);AI;4;;;;;;;2025-09-18T13:01:05.810732;success;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;London Stock Exchange;GBP;;;;;XETRA;EUR;;;;;NASDAQ;EUR;;;;;Euronext Paris;EUR;;;;;;;;;;;;;;;;;
IE000AV35A01;ETF Screener;https://www.justetf.com/en/etf-profile.html?isin=IE000AV35A01;;;;;;;;;;;;;;;;;;;Ostatní;False;Ostatní;;;;;;;;;;;;;;;;;;;;Extracted (method 2);AI;4;;;;;;;2025-09-18T13:01:08.636122;success;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;London Stock Exchange;GBP;;;;;XETRA;EUR;;;;;NASDAQ;EUR;;;;;Euronext Paris;EUR;;;;;;;;;;;;;;;;;
IE00BLRB0028;ETF Screener;https://www.justetf.com/en/etf-profile.html?isin=IE00BLRB0028;;;;;;;;;;;;;;;;;;;Ostatní;False;Ostatní;;;;;;;;;;;;;;;;;;;;Extracted (method 2);AI;4;;;;;;;2025-09-18T13:01:13.623007;success;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;London Stock Exchange;GBP;;;;;XETRA;EUR;;;;;NASDAQ;EUR;;;;;Euronext Paris;EUR;;;;;;;;;;;;;;;;;
JE00B78NPY84;ETF Screener;https://www.justetf.com/en/etf-profile.html?isin=JE00B78NPY84;;;;;;;;;;;;;;;;;;;Ostatní;False;Ostatní;;;;;;;;;;;;;;;;;;;;Extracted (method 2);AI;4;;;;;;;2025-09-18T13:01:18.876606;success;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;London Stock Exchange;GBP;;;;;XETRA;EUR;;;;;NASDAQ;EUR;;;;;Euronext Paris;EUR;;;;;;;;;;;;;;;;;
IE00079WNSI6;ETF Screener;https://www.justetf.com/en/etf-profile.html?isin=IE00079WNSI6;;;;;;;;;;;;;;;;;;;Ostatní;False;Ostatní;;;;;;;;;;;;;;;;;;;;Extracted (method 2);AI;4;;;;;;;2025-09-18T13:01:22.304494;success;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;London Stock Exchange;GBP;;;;;XETRA;EUR;;;;;NASDAQ;EUR;;;;;Euronext Paris;EUR;;;;;;;;;;;;;;;;;
IE000BW2B3J3;ETF Screener;https://www.justetf.com/en/etf-profile.html?isin=IE000BW2B3J3;;;;;;;;;;;;;;;;;;;Ostatní;False;Ostatní;;;;;;;;;;;;;;;;;;;;Extracted (method 2);AI;4;;;;;;;2025-09-18T13:01:26.582839;success;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;London Stock Exchange;GBP;;;;;XETRA;EUR;;;;;NASDAQ;EUR;;;;;Euronext Paris;EUR;;;;;;;;;;;;;;;;;
